7369e1a;NataliiaOfBlockchain;Tue Jan 24 04:10:59 2023 +0900;add pagination on trust list page
b4ad2fe;NataliiaOfBlockchain;Tue Jan 24 03:31:41 2023 +0900;update init db function
f33ac3f;NataliiaOfBlockchain;Mon Jan 23 07:10:49 2023 +0900;stop clearing user and endorsement
ff2318c;NataliiaOfBlockchain;Mon Jan 23 07:08:44 2023 +0900;set admin permission to levy
be23d00;NataliiaOfBlockchain;Mon Jan 23 07:06:11 2023 +0900;update server url
e09bace;NataliiaOfBlockchain;Mon Jan 23 07:05:25 2023 +0900;fresh user, endorsement collection
3d65952;NataliiaOfBlockchain;Mon Jan 23 06:32:09 2023 +0900;import server_url from config
ccc9fa8;NataliiaOfBlockchain;Sun Jan 22 13:36:57 2023 +0900;update avatar url with server_url
aa5d382;NataliiaOfBlockchain;Sun Jan 22 13:15:13 2023 +0900;provide admin permission to dlevy
4933ed7;NataliiaOfBlockchain;Fri Jan 20 18:03:14 2023 +0900;init firebase
3bcc798;NataliiaOfBlockchain;Fri Jan 20 16:16:50 2023 +0900;add credit page in user admin page
38aaa57;NataliiaOfBlockchain;Fri Jan 20 09:49:41 2023 +0900;add balance card in user admin page
1bbf4a1;NataliiaOfBlockchain;Fri Jan 20 09:16:00 2023 +0900;update user admin profile and trust page
0a23bc9;NataliiaOfBlockchain;Tue Jan 17 12:17:10 2023 +0900;build admin user profile page
778ea94;NataliiaOfBlockchain;Tue Jan 17 11:32:00 2023 +0900;build user admin infra
c4f1252;NataliiaOfBlockchain;Tue Jan 17 10:33:52 2023 +0900;create users admin page
29e4fb0;NataliiaOfBlockchain;Tue Jan 17 01:41:17 2023 +0900;build admin routes
30be893;NataliiaOfBlockchain;Fri Jan 13 17:02:07 2023 +0900;fix get followers and followings function in endorsement controller
d1652fc;NataliiaOfBlockchain;Fri Jan 13 16:34:44 2023 +0900;fix getById function in user controller
517923e;NataliiaOfBlockchain;Fri Jan 13 16:16:25 2023 +0900;create visibility icon on profile security page
d3c8815;NataliiaOfBlockchain;Fri Jan 13 15:57:34 2023 +0900;fix changePassword function for select password when fetching user data
bb25dab;NataliiaOfBlockchain;Fri Jan 13 15:47:24 2023 +0900;trust empty tag position fix
b49f25e;NataliiaOfBlockchain;Thu Jan 12 19:43:41 2023 +0900;update balance after payment
b8cb32d;NataliiaOfBlockchain;Thu Jan 12 18:28:05 2023 +0900;redirect to login route when getting 401 error
e6554a4;NataliiaOfBlockchain;Thu Jan 12 16:13:17 2023 +0900;remove alert from login
5f27e77;NataliiaOfBlockchain;Thu Jan 12 16:00:04 2023 +0900;fix path graph
e93b3a9;NataliiaOfBlockchain;Thu Jan 12 15:00:05 2023 +0900;fix home route item id
93d7f48;NataliiaOfBlockchain;Thu Jan 12 14:44:18 2023 +0900;fix how it work path in landing page
cbacd9c;NataliiaOfBlockchain;Tue Jan 10 03:45:35 2023 +0900;add getPath function
006c23d;Mike;Mon Jan 9 17:31:38 2023 +0000;fix graph
364f76c;Mike;Mon Jan 9 11:29:33 2023 +0000;update upload images hosting logic
ff1f15e;Mike;Fri Jan 6 22:14:40 2023 +0000;host the project on remote server
0c2adcc;NataliiaOfBlockchain;Wed Jan 4 22:24:46 2023 +0900;show graph before payment
15199a1;daniel-888;Fri Dec 30 06:59:35 2022 +0900;remove trust graph in payment page
c4aa625;daniel-888;Fri Dec 30 06:57:37 2022 +0900;load google map library script without api key
9b9c72e;NataliiaOfBlockchain;Tue Dec 27 11:13:21 2022 +0900;show graph on trust page
d7f4717;NataliiaOfBlockchain;Tue Dec 27 10:49:35 2022 +0900;remove useless menu in endorsement card
e76a316;NataliiaOfBlockchain;Tue Dec 27 10:43:20 2022 +0900;use endorsement skeleton
0c74255;NataliiaOfBlockchain;Tue Dec 27 10:17:06 2022 +0900;build endorsement card skeleton
5e9128f;NataliiaOfBlockchain;Mon Dec 26 12:56:12 2022 +0900;remove api key in index.html
165482a;NataliiaOfBlockchain;Sun Dec 25 10:31:12 2022 +0900;import old db contents
01e2e6a;NataliiaOfBlockchain;Sun Dec 25 01:58:48 2022 +0900;update profile page for google map location
a7f62d9;NataliiaOfBlockchain;Sun Dec 25 01:33:28 2022 +0900;update profile model for rename locationId as placeId
4b13d7e;NataliiaOfBlockchain;Sat Dec 24 17:08:42 2022 +0900;update sidebar
adc6114;NataliiaOfBlockchain;Fri Dec 23 17:35:36 2022 +0900;update trust page for empty component
f363f90;NataliiaOfBlockchain;Fri Dec 23 17:16:53 2022 +0900;update notifications to add empty component
3ebdcb7;NataliiaOfBlockchain;Fri Dec 23 17:12:31 2022 +0900;build notifications page
ff06377;NataliiaOfBlockchain;Fri Dec 23 07:59:37 2022 +0900;create user list skeleton
066e332;NataliiaOfBlockchain;Fri Dec 23 06:35:44 2022 +0900;fix payment validation middleware
5839eda;NataliiaOfBlockchain;Fri Dec 23 06:16:18 2022 +0900;add empty component in public profile posting tab
7374971;NataliiaOfBlockchain;Fri Dec 23 06:05:30 2022 +0900;update fetch posting function for author avatar
6706812;NataliiaOfBlockchain;Fri Dec 23 05:57:29 2022 +0900;use avatar in trust list page
1087508;NataliiaOfBlockchain;Fri Dec 23 05:54:06 2022 +0900;reload profile after change avatar
40d7756;NataliiaOfBlockchain;Fri Dec 23 05:43:07 2022 +0900;fix the maximum list label in payment form
e237a12;NataliiaOfBlockchain;Fri Dec 23 05:35:28 2022 +0900;link to trust and payment page from posting list
5129f48;NataliiaOfBlockchain;Fri Dec 23 05:29:04 2022 +0900;use avatar image in people list page
6047e08;NataliiaOfBlockchain;Fri Dec 23 05:22:26 2022 +0900;upload avatar when change file
68cf68c;NataliiaOfBlockchain;Fri Dec 23 05:12:15 2022 +0900;add profile and account id to auth payload data
85e87b8;NataliiaOfBlockchain;Fri Dec 23 04:15:04 2022 +0900;add posting update feature
d294306;NataliiaOfBlockchain;Thu Dec 22 22:08:09 2022 +0900;create empty component
d6bc9d0;NataliiaOfBlockchain;Thu Dec 22 19:14:57 2022 +0900;add posting delete function
f172d99;NataliiaOfBlockchain;Wed Dec 21 09:48:52 2022 +0900;Merge branch 'dev' of https://github.com/villagescc/villages-mern into dev
0b26d6c;NataliiaOfBlockchain;Wed Dec 21 09:42:10 2022 +0900;changed to single account logic
8a6fec9;NataliiaOfBlockchain;Tue Dec 20 07:53:16 2022 +0900;Update README.md
41a9c5b;NataliiaOfBlockchain;Tue Dec 20 07:48:42 2022 +0900;Create README.md
5d94954;NataliiaOfBlockchain;Tue Dec 20 07:14:22 2022 +0900;update user model
b55e401;NataliiaOfBlockchain;Mon Dec 19 08:45:04 2022 +0900;merge changes for graph
51057d4;NataliiaOfBlockchain;Fri Dec 9 11:34:29 2022 +0900;payment logic before changing balance and choose account
174b71b;NataliiaOfBlockchain;Fri Dec 9 11:03:01 2022 +0900;payment logic before creation of paylogs and payment document
afb2146;NataliiaOfBlockchain;Fri Dec 9 09:10:10 2022 +0900;build logic to get max flow
17d8919;NataliiaOfBlockchain;Fri Dec 9 00:53:09 2022 +0900;update account controller
2b1e3c6;NataliiaOfBlockchain;Thu Dec 8 17:34:22 2022 +0900;install graphology and get paths
55589ea;NataliiaOfBlockchain;Tue Dec 6 03:33:12 2022 +0900;integrate ilp-connector
384c6a3;NataliiaOfBlockchain;Sun Dec 4 05:15:40 2022 +0900;validation structure changed & password change page
d8117e9;NataliiaOfBlockchain;Sat Dec 3 21:17:41 2022 +0900;done help & motivation & privacy pages
609166b;NataliiaOfBlockchain;Sat Dec 3 05:34:17 2022 +0900;profile info save
125a77c;NataliiaOfBlockchain;Thu Dec 1 23:59:50 2022 +0900;clear useless config
13ef1c5;NataliiaOfBlockchain;Wed Nov 30 07:18:52 2022 +0900;Profile page
1924ae2;NataliiaOfBlockchain;Sun Nov 27 09:36:56 2022 +0900;payment form
7739956;NataliiaOfBlockchain;Sun Nov 27 00:12:17 2022 +0900;trust page with recipient param
d9dc407;NataliiaOfBlockchain;Sat Nov 26 18:59:01 2022 +0900;profile part except for profile component
3694940;NataliiaOfBlockchain;Fri Nov 25 05:13:05 2022 +0900;build user detail page infra
3787f9e;NataliiaOfBlockchain;Fri Nov 25 03:22:04 2022 +0900;people
33df4e1;NataliiaOfBlockchain;Sat Nov 12 23:27:45 2022 +0900;build trust cart in frontend with search func
b292516;unknown;Fri Nov 11 12:29:35 2022 +0900;update endorsement search func
04c74a6;unknown;Thu Nov 10 04:32:16 2022 +0900;Building trust page upto search without group by user
7cd2d1a;unknown;Thu Nov 10 02:17:14 2022 +0900;add snackbar in the register page
329feca;unknown;Thu Nov 10 01:45:51 2022 +0900;create endorsement logic in backend
0d4cf0e;unknown;Thu Nov 10 01:16:31 2022 +0900;create notification func in backend
e3f5031;unknown;Tue Nov 8 03:29:39 2022 +0900;create endorsement validation&middleware
065ebaa;unknown;Sun Nov 6 04:03:09 2022 +0900;create balance section in header
4755d08;unknown;Sun Nov 6 00:40:13 2022 +0900;update auth payload info
0f4c154;unknown;Sun Nov 6 00:27:34 2022 +0900;create payment controller for creating account
8071e83;unknown;Sun Nov 6 00:12:37 2022 +0900;create profile controller in backend
b0b2a41;unknown;Sat Nov 5 23:48:10 2022 +0900;Change backend routing logic for one router with middleware and validation
2353a8a;unknown;Sat Nov 5 10:44:27 2022 +0900;built ripple related models
a4a917e;unknown;Thu Nov 3 12:00:58 2022 +0900;tidy useless files and auth check
b5d65bd;unknown;Thu Nov 3 09:45:27 2022 +0900;Built all routing structure
bcf80a8;unknown;Thu Nov 3 02:53:20 2022 +0900;fix posting card height & truncate
7c61601;unknown;Thu Nov 3 02:26:23 2022 +0900;fix filter with pagination
fe97b82;unknown;Thu Nov 3 02:24:08 2022 +0900;fix keyword insensitive filter & or operation
ffae560;unknown;Thu Nov 3 02:10:55 2022 +0900;upto posting filter
ac4463f;unknown;Wed Nov 2 04:08:33 2022 +0900;done create listing
b20684a;unknown;Tue Nov 1 23:04:31 2022 +0900;upto posting list skeleton
9af76ea;unknown;Tue Nov 1 02:33:54 2022 +0900;landing header fixed for checking auth
68a6c01;unknown;Tue Nov 1 01:55:11 2022 +0900;before creating filter control function
9786ea9;unknown;Sat Oct 29 01:54:10 2022 +0900;building backend models
9b88b2c;unknown;Fri Oct 28 08:30:23 2022 +0900;login route done
b0b87f1;unknown;Fri Oct 28 07:27:44 2022 +0900;login route done
361af42;unknown;Fri Oct 28 06:57:35 2022 +0900;verify route done
216ab32;NataliiaOfBlockchain;Fri Oct 28 04:52:13 2022 +0900;Delete .env
0faf5fe;unknown;Fri Oct 28 04:52:05 2022 +0900;register action without mail check
b11e0e2;unknown;Fri Oct 28 04:49:53 2022 +0900;register action without mail check
b614a80;NataliiaOfBlockchain;Fri Oct 28 02:04:58 2022 +0900;Delete .env
69994bb;NataliiaOfBlockchain;Fri Oct 28 02:04:17 2022 +0900;Delete .env
a844ebb;unknown;Fri Oct 28 02:03:41 2022 +0900;fixed gitignore
ad7d0ea;NataliiaOfBlockchain;Thu Oct 27 22:50:42 2022 +0900;Merge pull request #2 from daniel-888/villages-mern
792518d;daniel-888;Thu Oct 27 10:52:32 2022 +0000;gg
521c222;daniel-888;Thu Oct 27 10:50:50 2022 +0000;setup gitpod config
e170c69;daniel-888;Thu Oct 27 09:45:53 2022 +0000;gitpod
a5b18be;NataliiaOfBlockchain;Thu Oct 27 09:33:12 2022 +0000;init gitpod config
9a827b1;unknown;Thu Oct 27 18:05:55 2022 +0900;create register route in backend
104f603;unknown;Thu Oct 27 18:03:01 2022 +0900;create register route in backend
a47f854;unknown;Wed Oct 26 03:34:31 2022 +0900;change the logo
e2b0dd7;unknown;Tue Oct 25 23:17:56 2022 +0900;changed structure
2f8db4f;unknown;Tue Oct 25 21:37:17 2022 +0900;build new template for frontend
1199c3e;unknown;Tue Oct 25 05:05:16 2022 +0900;init node server & react frontend app
733e7d7;allinfinite;Thu Oct 20 11:46:43 2022 -1000;Initial commit
